user_id,action_name,event_time,expected_rank,expected_activity_level
user_001,查看黄金行情,2026-03-31 10:15:00,1,high
user_001,跨行转入,2026-03-31 10:13:00,2,high
user_001,风险评估,2026-03-31 10:12:00,3,high
user_002,给朋友转账,2026-03-31 10:52:00,1,high
user_002,给朋友转账,2026-03-30 10:45:00,2,high
user_002,查看理财产品,2026-03-30 08:41:00,3,high
user_003,查交易结果,2026-03-31 10:11:00,1,high
user_003,添加银行卡,2026-03-31 10:06:00,2,high
user_003,查账户明细,2026-03-31 08:31:00,3,high
user_004,查账单,2026-03-31 11:17:00,1,high
user_004,查交易明细,2026-03-31 08:37:00,2,high
user_004,查交易结果,2026-03-31 08:32:00,3,high
user_005,购买理财,2026-03-31 08:47:00,1,high
user_005,开通快捷支付,2026-03-30 09:15:00,2,high
user_005,购买理财,2026-03-30 08:40:00,3,high
user_006,给朋友转账,2026-03-31 09:42:00,1,high
user_006,给朋友转账,2026-03-30 09:35:00,2,high
user_006,给朋友转账,2026-03-29 09:28:00,3,high
user_007,快捷支付,2026-03-31 12:00:00,1,high
user_007,查还款结果,2026-03-31 11:55:00,2,high
user_007,查交易结果,2026-03-31 11:54:00,3,high
user_008,快捷支付,2026-03-30 21:26:00,1,high
user_008,预约网点取号,2026-03-30 21:25:00,2,high
user_008,风险评估,2026-03-30 21:20:00,3,high
user_009,查询汇率牌价,2026-03-29 08:41:00,1,high
user_009,风险评估,2026-03-28 19:07:00,2,high
user_009,预约网点取号,2026-03-28 19:05:00,3,high
user_010,预约网点取号,2026-03-31 10:44:00,1,high
user_010,查账户明细,2026-03-31 10:42:00,2,high
user_010,查看基金净值,2026-03-30 16:57:00,3,high
user_011,查账单,2026-03-31 08:40:00,1,high
user_011,风险评估,2026-03-30 15:33:00,2,high
user_011,预约网点取号,2026-03-30 15:32:00,3,high
user_012,工资转账,2026-03-31 09:47:00,1,high
user_012,开通快捷支付,2026-03-30 18:35:00,2,high
user_012,查交易结果,2026-03-30 15:47:00,3,high
user_013,预约网点取号,2026-03-31 12:00:00,1,high
user_013,查交易结果,2026-03-31 11:56:00,2,high
user_013,查账户明细,2026-03-31 11:52:00,3,high
user_014,上传收入证明,2026-03-29 08:02:00,1,high
user_014,查看基金净值,2026-03-27 20:31:00,2,high
user_014,短信验证,2026-03-27 20:26:00,3,high
user_015,风险评估,2026-03-31 10:03:00,1,high
user_015,快捷支付,2026-03-31 09:58:00,2,high
user_015,收款码,2026-03-31 09:55:00,3,high
user_016,信用卡账单,2026-03-31 10:11:00,1,high
user_016,开通快捷支付,2026-03-30 15:06:00,2,high
user_016,快捷支付,2026-03-30 13:42:00,3,high
user_017,修改转账限额,2026-03-30 17:20:00,1,high
user_017,修改转账限额,2026-03-30 15:39:00,2,high
user_017,修改转账限额,2026-03-29 17:09:00,3,high
user_018,添加银行卡,2026-03-31 11:59:00,1,high
user_018,查银行卡,2026-03-31 11:58:00,2,high
user_018,查看理财产品,2026-03-31 11:55:00,3,high
user_019,添加银行卡,2026-03-30 20:53:00,1,high
user_019,预约网点取号,2026-03-30 20:49:00,2,high
user_019,短信验证,2026-03-30 20:46:00,3,high
user_020,结构性存款,2026-03-31 11:22:00,1,high
user_020,查看基金净值,2026-03-31 11:19:00,2,high
user_020,快捷支付,2026-03-29 21:37:00,3,high
user_021,收款码,2026-03-31 11:40:00,1,high
user_021,查看理财产品,2026-03-31 11:35:00,2,high
user_021,查交易结果,2026-03-31 08:13:00,3,high
user_022,上传收入证明,2026-03-29 08:10:00,1,high
user_022,跨行转入,2026-03-28 18:10:00,2,high
user_022,查还款结果,2026-03-28 18:06:00,3,high
user_023,查看基金净值,2026-03-31 10:22:00,1,high
user_023,查账户明细,2026-03-31 10:20:00,2,high
user_023,查余额,2026-03-31 09:09:00,3,high
user_024,短信验证,2026-03-31 11:56:00,1,high
user_024,查交易结果,2026-03-31 11:54:00,2,high
user_024,查余额,2026-03-31 11:21:00,3,high
user_025,信用卡账单,2026-03-31 11:53:00,1,high
user_025,风险评估,2026-03-31 08:12:00,2,high
