user_id,action_name,expected_event_count,expected_active_days,expected_rank
user_000001,添加银行卡,10,10,1
user_000001,大样本周期_daily_0776,9,9,2
user_000001,查看黄金行情,8,8,3
user_000001,收款码,7,7,4
user_000001,短信验证,7,7,5
user_000002,结构性存款,11,11,1
user_000002,短信验证,10,10,2
user_000002,大样本周期_daily_0048,9,9,3
user_000002,预约网点取号,9,9,4
user_000002,查银行卡,8,8,5
user_000003,查看理财产品,9,9,1
user_000003,买黄金,8,8,2
user_000003,银行卡管理,8,8,3
user_000003,大样本近期高频_0634,8,5,4
user_000003,查看黄金行情,7,7,5
user_000004,大样本非固定时段_low_share_0416,11,11,1
user_000004,查银行卡,10,10,2
user_000004,添加银行卡,9,9,3
user_000004,查还款结果,9,9,4
user_000004,跨行转入,9,9,5
user_000005,查交易结果,11,11,1
user_000005,查账户明细,11,11,2
user_000005,大样本固定时段_early_morning_0940,10,10,3
user_000005,查看理财产品,9,9,4
user_000005,查看基金净值,9,9,5
user_000006,大样本非近期高频_long_term_high_freq_0459,30,25,1
user_000006,结构性存款,9,9,2
user_000006,查账户明细,7,7,3
user_000006,查银行卡,7,7,4
user_000006,收款码,6,6,5
user_000007,添加银行卡,9,9,1
user_000007,收款码,9,9,2
user_000007,银行卡管理,7,7,3
user_000007,大样本周期_interval_0315,7,7,4
user_000007,查看理财产品,7,7,5
user_000008,大样本非近期高频_long_term_high_freq_0295,30,25,1
user_000008,快捷支付,9,9,2
user_000008,买黄金,9,9,3
user_000008,短信验证,8,8,4
user_000008,结构性存款,7,7,5
user_000009,查银行卡,10,10,1
user_000009,查还款结果,7,7,2
user_000009,查交易结果,7,7,3
user_000009,大样本近期高频_0607,7,6,4
user_000009,买黄金,6,6,5
user_000010,查还款结果,7,7,1
user_000010,结构性存款,6,6,2
user_000010,买黄金,6,6,3
user_000010,查账户明细,5,5,4
user_000010,银行卡管理,4,4,5
user_000011,查交易结果,9,9,1
user_000011,结构性存款,8,8,2
user_000011,查看黄金行情,8,8,3
user_000011,预约网点取号,6,6,4
user_000011,查交易明细,6,6,5
user_000012,大样本固定时段_evening_0319,10,10,1
user_000012,查交易明细,9,9,2
user_000012,大样本近期高频_0119,9,6,3
user_000012,快捷支付,8,8,4
user_000012,查还款结果,8,8,5
user_000013,风险评估,11,11,1
user_000013,结构性存款,10,10,2
user_000013,查还款结果,10,10,3
user_000013,预约网点取号,10,10,4
user_000013,查银行卡,9,9,5
user_000014,买黄金,11,11,1
user_000014,跨行转入,10,10,2
user_000014,大样本固定时段_afternoon_0366,10,10,3
user_000014,查账户明细,8,8,4
user_000014,查交易明细,8,8,5
user_000015,大样本非近期高频_long_term_high_freq_0675,30,25,1
user_000015,结构性存款,10,10,2
user_000015,银行卡管理,10,10,3
user_000015,短信验证,9,9,4
user_000015,查账户明细,8,8,5
user_000016,大样本近期高频_0409,9,6,1
user_000016,查银行卡,8,8,2
user_000016,查看基金净值,8,8,3
user_000016,查看理财产品,8,8,4
user_000016,大样本周期_weekly_0809,8,8,5
user_000017,买黄金,10,10,1
user_000017,大样本固定时段_morning_0877,10,10,2
user_000017,查看基金净值,9,9,3
user_000017,跨行转入,8,8,4
user_000017,短信验证,7,7,5
user_000018,大样本非近期高频_low_concentration_0794,12,11,1
user_000018,大样本非固定时段_low_share_0794,11,11,2
user_000018,查看理财产品,9,9,3
user_000018,查交易结果,9,9,4
user_000018,查交易明细,8,8,5
user_000019,大样本非近期高频_low_concentration_0742,12,11,1
user_000019,快捷支付,8,8,2
user_000019,风险评估,7,7,3
user_000019,结构性存款,7,7,4
user_000019,添加银行卡,6,6,5
user_000020,查看理财产品,11,11,1
user_000020,添加银行卡,10,10,2
user_000020,查账户明细,10,10,3
user_000020,风险评估,10,10,4
user_000020,查还款结果,9,9,5
user_000021,大样本非固定时段_low_share_0116,11,11,1
user_000021,跨行转入,10,10,2
user_000021,添加银行卡,8,8,3
user_000021,查银行卡,7,7,4
user_000021,银行卡管理,7,7,5
user_000022,跨行转入,10,10,1
user_000022,预约网点取号,10,10,2
user_000022,查交易明细,10,10,3
user_000022,大样本周期_daily_0904,9,9,4
user_000022,查看黄金行情,8,8,5
user_000023,添加银行卡,11,11,1
user_000023,银行卡管理,10,10,2
user_000023,查交易结果,10,10,3
user_000023,大样本固定时段_afternoon_0078,10,10,4
user_000023,查看理财产品,9,9,5
user_000024,大样本非近期高频_low_lift_0189,10,9,1
user_000024,查交易结果,9,9,2
user_000024,快捷支付,9,9,3
user_000024,添加银行卡,8,8,4
user_000024,查账户明细,8,8,5
user_000025,短信验证,10,10,1
user_000025,跨行转入,10,10,2
user_000025,查银行卡,9,9,3
user_000025,买黄金,9,9,4
user_000025,大样本周期_daily_0164,8,8,5
user_000026,大样本非近期高频_long_term_high_freq_0527,30,25,1
user_000026,大样本非固定时段_low_share_0527,11,11,2
user_000026,收款码,9,9,3
user_000026,快捷支付,7,7,4
user_000026,风险评估,6,6,5
user_000027,大样本非近期高频_long_term_high_freq_0739,30,25,1
user_000027,银行卡管理,10,10,2
user_000027,短信验证,8,8,3
user_000027,查账户明细,8,8,4
user_000027,查银行卡,7,7,5
user_000028,大样本周期_daily_0476,8,8,1
user_000028,查交易明细,8,8,2
user_000028,查银行卡,7,7,3
user_000028,风险评估,6,6,4
user_000028,大样本固定时段_early_morning_0276,6,6,5
user_000029,查账户明细,10,10,1
user_000029,大样本固定时段_evening_0111,10,10,2
user_000029,买黄金,9,9,3
user_000029,查看理财产品,9,9,4
user_000029,查银行卡,8,8,5
user_000030,查还款结果,14,14,1
user_000030,大样本非近期高频_low_lift_0345,10,9,2
user_000030,查看黄金行情,9,9,3
user_000030,添加银行卡,9,9,4
