user_id,action_name,time_period,period_event_count,total_event_count,period_share,active_days,positive_label,pattern_id,reason
user_041,查看公积金,early_morning,4,5,0.8,4,1,time_period_000,fixed_time_period_high_frequency
user_065,查看社保,morning,5,6,0.833333,5,1,time_period_001,fixed_time_period_high_frequency
user_154,个税试算,afternoon,6,8,0.75,6,1,time_period_002,fixed_time_period_high_frequency
user_100,下载流水,evening,4,5,0.8,4,1,time_period_003,fixed_time_period_high_frequency
user_142,查看公积金,early_morning,5,6,0.833333,5,1,time_period_004,fixed_time_period_high_frequency
user_130,下载流水,morning,6,8,0.75,6,1,time_period_005,fixed_time_period_high_frequency
user_156,汇款跟踪,afternoon,4,5,0.8,4,1,time_period_006,fixed_time_period_high_frequency
user_056,汇款跟踪,evening,5,6,0.833333,5,1,time_period_007,fixed_time_period_high_frequency
user_120,查看公积金,early_morning,6,8,0.75,6,1,time_period_008,fixed_time_period_high_frequency
user_095,查看社保,morning,4,5,0.8,4,1,time_period_009,fixed_time_period_high_frequency
user_150,汇款跟踪,afternoon,5,6,0.833333,5,1,time_period_010,fixed_time_period_high_frequency
user_184,个税试算,evening,6,8,0.75,6,1,time_period_011,fixed_time_period_high_frequency
user_113,查看工资流水,early_morning,4,5,0.8,4,1,time_period_012,fixed_time_period_high_frequency
user_201,个税试算,morning,5,6,0.833333,5,1,time_period_013,fixed_time_period_high_frequency
user_240,个税试算,afternoon,6,8,0.75,6,1,time_period_014,fixed_time_period_high_frequency
user_152,个税试算,evening,4,5,0.8,4,1,time_period_015,fixed_time_period_high_frequency
user_076,查看社保,early_morning,5,6,0.833333,5,1,time_period_016,fixed_time_period_high_frequency
user_157,下载流水,morning,6,8,0.75,6,1,time_period_017,fixed_time_period_high_frequency
user_114,查看公积金,afternoon,4,5,0.8,4,1,time_period_018,fixed_time_period_high_frequency
user_207,汇款跟踪,evening,5,6,0.833333,5,1,time_period_019,fixed_time_period_high_frequency
user_176,查看公积金,early_morning,6,8,0.75,6,1,time_period_020,fixed_time_period_high_frequency
user_232,查看社保,morning,4,5,0.8,4,1,time_period_021,fixed_time_period_high_frequency
user_211,汇款跟踪,afternoon,5,6,0.833333,5,1,time_period_022,fixed_time_period_high_frequency
user_110,个税试算,evening,6,8,0.75,6,1,time_period_023,fixed_time_period_high_frequency
user_031,查看社保,early_morning,4,5,0.8,4,1,time_period_024,fixed_time_period_high_frequency
user_199,个税试算,morning,5,6,0.833333,5,1,time_period_025,fixed_time_period_high_frequency
user_222,下载流水,afternoon,6,8,0.75,6,1,time_period_026,fixed_time_period_high_frequency
user_172,个税试算,evening,4,5,0.8,4,1,time_period_027,fixed_time_period_high_frequency
user_008,查看社保,early_morning,5,6,0.833333,5,1,time_period_028,fixed_time_period_high_frequency
user_128,查看工资流水,morning,6,8,0.75,6,1,time_period_029,fixed_time_period_high_frequency
user_111,个税试算,afternoon,4,5,0.8,4,1,time_period_030,fixed_time_period_high_frequency
user_127,汇款跟踪,evening,5,6,0.833333,5,1,time_period_031,fixed_time_period_high_frequency
user_089,查看工资流水,early_morning,6,8,0.75,6,1,time_period_032,fixed_time_period_high_frequency
user_054,查看公积金,morning,4,5,0.8,4,1,time_period_033,fixed_time_period_high_frequency
user_049,下载流水,afternoon,5,6,0.833333,5,1,time_period_034,fixed_time_period_high_frequency
user_185,查看公积金,evening,6,8,0.75,6,1,time_period_035,fixed_time_period_high_frequency
user_005,查看社保,early_morning,4,5,0.8,4,1,time_period_036,fixed_time_period_high_frequency
