user_id,action_name,expected_event_count,expected_active_days,expected_rank
user_001,查交易结果,15,14,1
user_001,添加银行卡,12,11,2
user_001,查交易明细,10,10,3
user_001,风险评估,9,9,4
user_001,查看黄金行情,8,8,5
user_002,给朋友转账,21,21,1
user_002,上传收入证明,14,14,2
user_002,查看黄金行情,9,8,3
user_002,跨行转入,8,7,4
user_002,结构性存款,7,7,5
user_003,查看黄金行情,13,12,1
user_003,查还款结果,12,11,2
user_003,风险评估,11,10,3
user_003,信用卡账单,10,10,4
user_003,查交易明细,9,9,5
user_004,查账单,26,26,1
user_004,开通快捷支付,21,21,2
user_004,查看黄金行情,11,11,3
user_004,查余额,10,10,4
user_004,买黄金,10,9,5
user_005,购买理财,19,17,1
user_005,查交易明细,11,10,2
user_005,银行卡管理,11,9,3
user_005,查看基金净值,10,10,4
user_005,预约网点取号,10,7,5
user_006,给朋友转账,36,36,1
user_006,短信验证,13,13,2
user_006,银行卡管理,13,11,3
user_006,查看理财产品,10,10,4
user_006,查交易明细,10,9,5
user_007,快捷支付,9,8,1
user_007,修改转账限额,8,5,2
user_007,查交易结果,7,7,3
user_007,查看理财产品,7,7,4
user_007,买黄金,7,7,5
user_008,查交易结果,15,14,1
user_008,申请贷款试算,14,14,2
user_008,银行卡管理,13,12,3
user_008,短信验证,10,10,4
user_008,查交易明细,8,8,5
user_009,查询汇率牌价,14,14,1
user_009,查账户明细,13,11,2
user_009,查看黄金行情,13,11,3
user_009,银行卡管理,11,10,4
user_009,查余额,10,10,5
user_010,购买旅行保险,14,14,1
user_010,查银行卡,12,11,2
user_010,银行卡管理,10,10,3
user_010,查看理财产品,8,8,4
user_010,跨行转入,8,7,5
user_011,查账单,32,30,1
user_011,查还款结果,12,11,2
user_011,风险评估,10,9,3
user_011,预约网点取号,8,8,4
user_011,查看基金净值,8,8,5
user_012,申请贷款试算,21,21,1
user_012,买黄金,15,15,2
user_012,风险评估,12,11,3
user_012,查看基金净值,12,10,4
user_012,查看理财产品,11,11,5
user_013,查交易明细,9,9,1
user_013,查银行卡,9,9,2
user_013,结构性存款,9,8,3
user_013,查看黄金行情,8,8,4
user_013,预约网点取号,8,7,5
user_014,查交易明细,14,11,1
user_014,收款码,14,11,2
user_014,查交易结果,13,13,3
user_014,预约网点取号,10,10,4
user_014,还信用卡,10,10,5
user_015,风险评估,9,9,1
user_015,快捷支付,9,9,2
user_015,收款码,9,9,3
user_015,结构性存款,9,9,4
user_015,查交易明细,9,8,5
user_016,查还款结果,15,14,1
user_016,信用卡账单,14,13,2
user_016,添加银行卡,10,10,3
user_016,结构性存款,10,10,4
user_016,查银行卡,9,9,5
user_017,风险评估,11,10,1
user_017,查银行卡,10,10,2
user_017,查看基金净值,9,9,3
user_017,跨行转入,9,9,4
user_017,收款码,9,7,5
user_018,查交易明细,9,9,1
user_018,查银行卡,9,8,2
user_018,买黄金,9,8,3
user_018,银行卡管理,8,8,4
user_018,查还款结果,8,8,5
user_019,风险评估,12,12,1
user_019,查看基金净值,11,10,2
user_019,查看理财产品,10,10,3
user_019,收款码,10,8,4
user_019,结构性存款,9,9,5
user_020,查看基金净值,10,10,1
user_020,添加银行卡,9,8,2
user_020,结构性存款,8,8,3
user_020,查还款结果,8,8,4
user_020,查银行卡,8,8,5
user_021,查交易结果,13,11,1
user_021,快捷支付,13,10,2
user_021,买黄金,11,11,3
user_021,查银行卡,11,9,4
user_021,查余额,10,10,5
user_022,上传收入证明,14,14,1
user_022,查银行卡,12,11,2
user_022,查还款结果,10,8,3
user_022,银行卡管理,9,9,4
user_022,短信验证,7,7,5
user_023,查余额,28,26,1
user_023,添加银行卡,12,11,2
user_023,查交易结果,9,7,3
user_023,查看基金净值,8,8,4
user_023,上传收入证明,8,4,5
user_024,查余额,39,37,1
user_024,查询汇率牌价,21,21,2
user_024,查看理财产品,11,11,3
user_024,购买旅行保险,10,6,4
user_024,查银行卡,7,7,5
user_025,购买旅行保险,14,14,1
user_025,查账户明细,14,14,2
user_025,查交易结果,13,12,3
user_025,查还款结果,8,8,4
user_025,查询汇率牌价,8,6,5
user_026,查看黄金行情,14,13,1
user_026,查还款结果,12,11,2
user_026,查看基金净值,11,11,3
user_026,查交易结果,10,9,4
user_026,结构性存款,8,8,5
user_027,申请贷款试算,21,21,1
user_027,信用卡账单,20,18,2
